DATE,OPEN,HIGH,LOW,CLOSE
2024-01-25,2903.45,2926.35,2804.4,2893.6
2024-01-24,2901.0,2929.1,2871.25,2903.45
2024-01-23,3014.95,3014.95,2885.5,2896.55
2024-01-20,2930.0,3015.85,2890.5,2987.9
2024-01-19,2945.35,2949.45,2903.05,2915.65
2024-01-18,2975.55,2985.0,2885.1,2918.9
2024-01-17,3033.0,3045.0,2946.3,2971.05
2024-01-16,3095.0,3104.5,3035.0,3056.5
2024-01-15,3127.0,3130.0,3067.45,3089.5
2024-01-12,3096.35,3125.0,3068.2,3104.1
2024-01-11,3120.0,3129.0,3065.0,3080.9
2024-01-10,3024.0,3112.0,3020.05,3098.2
2024-01-09,2990.7,3068.8,2980.0,3014.6
2024-01-08,3020.0,3027.0,2952.95,2963.5
2024-01-05,3009.95,3066.9,2981.1,3006.6
2024-01-04,3039.4,3044.45,2990.0,2998.3
2024-01-03,3047.0,3199.0,2955.6,3003.0
2024-01-02,2922.0,2948.2,2841.0,2932.4
2024-01-01,2852.3,2947.0,2842.05,2917.2
2023-12-29,2823.9,2863.3,2802.85,2848.95
2023-12-28,2855.0,2867.35,2800.1,2809.9
2023-12-27,2880.7,2894.8,2833.6,2843.35
2023-12-26,2817.0,2893.75,2800.1,2865.45
2023-12-22,2815.95,2847.6,2791.4,2808.35
2023-12-21,2750.0,2821.95,2725.0,2799.75
2023-12-20,2946.0,2968.0,2766.2,2783.85
2023-12-19,2988.8,2994.35,2915.0,2941.25
2023-12-18,2993.95,3027.75,2961.1,2980.6
2023-12-15,2912.05,3000.0,2893.9,2991.8
2023-12-14,2900.95,2932.95,2887.0,2894.05
2023-12-13,2860.0,2899.1,2805.0,2875.05
2023-12-12,2869.1,2895.95,2840.55,2857.65
2023-12-11,2837.05,2919.9,2811.05,2855.8
2023-12-08,2902.7,2927.0,2760.0,2822.15
2023-12-07,2900.0,2945.9,2853.05,2887.15
2023-12-06,3080.0,3154.55,2844.85,2883.95
2023-12-05,2531.2,2999.9,2531.2,2959.35
2023-12-04,2549.95,2595.0,2487.45,2531.2
2023-12-01,2370.0,2403.35,2354.1,2362.7
2023-11-30,2400.05,2409.0,2343.05,2358.55
2023-11-29,2468.7,2477.65,2390.0,2396.6
2023-11-28,2301.0,2512.4,2275.0,2423.5
2023-11-24,2179.0,2251.95,2160.9,2225.45
2023-11-23,2190.0,2190.0,2160.6,2175.25
2023-11-22,2205.15,2225.0,2153.5,2172.65
2023-11-21,2160.0,2232.55,2158.35,2196.65
2023-11-20,2211.0,2218.5,2142.0,2149.85
2023-11-17,2205.9,2237.95,2201.0,2208.8
2023-11-16,2226.0,2232.8,2196.1,2205.9
2023-11-15,2240.0,2250.0,2220.5,2225.4
2023-11-13,2215.5,2241.9,2195.55,2213.65
2023-11-12,2219.7,2226.0,2205.1,2211.35
2023-11-10,2220.25,2237.0,2198.5,2205.1
2023-11-09,2269.0,2272.6,2210.1,2214.65
2023-11-08,2245.3,2298.0,2235.0,2259.95
2023-11-07,2257.0,2260.0,2226.65,2233.35
2023-11-06,2253.95,2260.0,2233.0,2246.0
2023-11-03,2215.3,2279.0,2215.0,2229.85
2023-11-02,2247.0,2297.95,2204.2,2215.3
2023-11-01,2299.0,2312.25,2207.0,2217.3
2023-10-31,2320.0,2320.0,2276.0,2294.65
2023-10-30,2260.05,2305.0,2250.0,2299.1
2023-10-27,2222.0,2275.0,2212.0,2261.7
2023-10-26,2249.0,2249.0,2167.05,2203.2
2023-10-25,2320.0,2348.05,2235.3,2257.0
2023-10-23,2397.8,2412.35,2301.8,2308.65
2023-10-20,2398.05,2443.95,2382.05,2393.75
2023-10-19,2400.0,2414.7,2382.55,2402.2
2023-10-18,2440.0,2441.75,2401.05,2406.35
2023-10-17,2459.95,2462.0,2423.5,2428.4
2023-10-16,2454.55,2464.7,2421.85,2429.35
2023-10-13,2488.9,2495.0,2422.35,2454.55
2023-10-12,2499.9,2521.75,2490.65,2506.35
2023-10-11,2533.9,2538.0,2482.5,2488.6
